countycode,Electronic_prescriptions,Opioid,Population,Male,White,Poverty ,Income,Hospitals,Pharmacies
24003,2688,19.1,564195,555280,274800,434931,27017,95,588
24005,4137,25.4,831128,822959,389418,531484,46119,94,682
24510,13774,47.4,621849,622454,293366,200530,43064,93,92
25005,977,28,556772,552763,267650,507282,16732,97,691
25009,1392,26.3,776043,763849,367791,678658,21939,97,829
25013,1554,19.8,470690,468041,225611,397828,15505,97,634
25017,1162,18.7,1585139,1556116,758542,1294788,38311,98,848
25021,787,20.3,696023,687721,329431,565097,12222,98,444
25023,838,29.6,510393,503681,245337,443576,11144,98,1093
25025,2928,22.4,778121,758919,366767,493905,30048,96,120
25027,1343,24.8,818963,810935,399807,722313,19986,98,1579
26049,2165,10.7,410849,415874,200473,313213,23029,94,649
26099,3392,19.3,864840,854689,415691,722099,51706,94,570
26163,7593,23.6,1759335,1778969,855112,980483,125477,93,672
27001,30,0,35569,35443,18256,32237,1523,96,875
27003,1218,0,98741,95715,47387,93049,2754,97,376
27005,0,0,28706,28519,14512,24585,1877,93,2414
27007,199,0,12109,12154,5984,11597,624,95,588
27009,39,0,54293,53834,27832,52279,1905,96,443
27011,1,0,62324,60879,30072,58627,2193,96,1053
27013,511,0,8803,8752,4429,7720,563,94,1030
27015,44,0,5194,5194,2602,4609,324,94,3339
27017,148,0,11549,11632,5685,10865,537,95,649
27019,325,0,63428,63048,31459,61668,2407,96,1157
27021,82,5.8,414686,408456,200534,361319,14725,96,586
27023,8,0,20364,20290,10144,19947,762,96,440
27025,101,0,37075,36620,18331,36400,1201,97,720
27027,229,0,14050,14230,7165,13756,623,96,722
27029,19,0,20834,20843,10445,20544,1091,95,862
27031,17,0,30613,30897,15304,29477,1506,95,723
27033,21,0,46435,46377,23098,44513,1877,96,780
27035,370,0,5903,5961,2985,5788,249,96,575
27037,1369,8.3,1223149,1197776,589781,942672,60982,95,606
27039,13,0,18773,18812,9405,18398,727,96,569
27041,104,0,20655,20574,10282,19744,988,95,999
27043,22,0,38429,38296,19300,37296,1465,96,452
27045,10,0,45435,45354,22949,42765,1949,96,2928
27047,178,0,10079,10211,5154,9757,341,97,720
27049,210,0,15837,16003,8121,15453,775,95,533
27051,3,0,42542,42444,21336,40161,2236,95,862
27053,5177,0,4424,4480,2251,4347,174,96,1104
27055,60,0,12841,13054,6535,12268,684,95,3154
27057,74,0,6856,7023,3526,6715,260,96,778
27059,101,0,10631,10750,5451,10437,349,97,2991
27061,52,0,3923,3949,2032,3785,192,95,1775
27063,22,0,27663,27707,14008,27036,1195,96,474
27065,2,0,5771,5808,2918,5700,223,96,548
27067,263,0,25673,25699,12818,23700,1025,96,721
27069,1,0,35932,36046,17888,35096,1377,96,506
27071,23,0,5457,5496,2772,2820,400,93,583
27073,1,0,9423,9453,4793,9221,429,95,1813
27075,5,0,20022,20350,10050,19564,915,95,730
27077,1,0,23102,23129,11675,22680,1048,95,645
27079,28,0,25788,25809,12980,23682,1398,95,682
27081,0,0,32775,32962,16663,32144,1543,95,1153
27083,81,0,39116,39227,19579,36270,2079,95,712
27085,107,0,8413,8529,4227,8183,348,96,720
27087,0,0,33347,33086,16492,31676,1058,97,467
27089,0,0,21770,21687,11190,18920,1823,92,722
27091,80,0,6678,6692,3353,6381,353,95,877
27093,28,0,151436,148736,72773,131184,5398,96,655
27095,70,0,57716,57511,28840,55877,2451,96,2225
27097,22,0,14219,14110,7087,13499,577,96,618
27099,248,0,29069,29218,15605,26950,1347,95,1435
27101,0,0,9271,9354,4550,8831,495,95,466
27103,46,0,31533,31547,15940,29856,1347,96,1998
27105,63,0,11041,10948,5550,10826,406,96,717
27107,0,6.7,538133,527411,256288,381908,28953,95,170
27109,449,0,4055,4061,2067,3892,203,95,433
27111,146,0,15471,15723,7898,14011,838,95,881
27113,44,0,14892,15171,7715,14400,724,95,987
27115,116,0,65400,64886,33038,60179,2904,96,516
27117,28,0,9600,9563,4651,9347,384,96,483
27119,172,0,15770,15615,7991,14858,669,96,1678
27121,8,12,200431,200506,100791,188052,7676,96,6861
27123,1459,0,141660,137322,68449,124451,5221,96,369
27125,5,0,91705,90401,46062,87289,3321,96,451
27127,34,0,14875,15021,7611,14524,702,95,600
27129,15,0,154708,152595,76804,142843,5978,96,1390
27131,178,0,36755,36523,17915,34951,1275,97,432
27133,4,0,9796,9771,4896,9284,328,97,575
27135,4,0,9340,9525,4803,9085,429,95,752
27137,927,0,24257,24466,12500,23646,1414,94,979
27139,747,0,3401,3429,1698,3156,162,95,586
27141,354,0,21239,21381,10777,20809,729,97,550
27143,0,0,13875,13759,6820,13473,636,95,543
27145,722,0,18989,19076,9162,18070,664,97,433
27147,104,0,251597,246670,121924,221645,7338,97,423
27149,22,0,10952,11054,5468,10486,797,93,440
27151,16,0,6396,6526,3316,6195,244,96,752
27153,81,0,50885,51213,25183,48255,2316,95,642
27155,0,0,131311,128691,64704,126430,4518,97,714
27157,73,0,9875,10092,5170,9344,470,95,763
27159,14,9.7,309381,307463,148776,242100,13476,96,533
27161,51,0,47462,48070,24313,45710,2165,95,1034
27163,942,11.8,1455444,1428357,672447,671823,139181,90,57
27165,25,14.2,196567,198093,97363,173509,9823,95,716
27167,29,0,77922,78962,39089,72556,4693,94,1322
27169,113,0,78288,79173,40576,73140,4102,95,779
27171,423,0,130779,132646,65776,124109,6755,95,1500
27173,15,0,87071,88267,43776,78179,3462,96,411
29077,1262,20.1,288072,283206,137929,266894,31086,89,678
29095,3397,9.3,687623,680905,329297,492582,73433,89,616
29099,1534,23.6,224124,221577,110157,217837,20736,91,664
29189,6211,14.5,1003362,1001327,474150,706651,67284,93,524
29510,6321,29.8,315685,317850,153641,151136,36858,88,66
32031,1230,14.1,446903,435019,218795,388396,46279,90,6551
33011,1573,36.6,406678,403972,200201,375450,26982,93,892
34013,7540,11,797434,791609,380222,401185,93037,88,130
34023,3087,9.3,840900,830300,408374,524878,68581,92,323
34025,4591,15.1,628715,629185,306200,537387,41582,93,665
35001,1941,21.4,676685,673943,330578,582065,67604,90,1169
36001,2050,0,48844,49549,24678,47620,2534,95,899
36003,313,0,81251,81685,42107,75533,4261,95,1118
36005,0,0,61509,62195,31244,56386,3408,94,648
36007,1389,0,48494,49043,23921,46515,1962,96,502
36009,453,0,46053,46901,23515,44189,2458,95,1468
36011,431,19.3,295754,296928,147663,245223,14530,95,825
36013,1051,25.9,922578,921584,445761,746993,40592,96,1227
